phase,block,schedule,slot,arm,occurrence,dispatches,status,completed,gpu_start_s,gpu_end_s,gpu_ms,kernel_ms,encode_ms,commit_wait_ms,wall_ms,result
measure,28,ECCE,3,E,2,344,4,1,427080.834803250,427080.853993917,19.190667,0.100958,0.289000,19.454000,19.743000,PASS
measure,29,CEEC,0,C,1,344,4,1,427080.854560875,427080.870528875,15.968000,0.101208,0.236000,16.230000,16.466000,PASS
measure,29,CEEC,1,E,1,344,4,1,427080.871089750,427080.890274000,19.184250,0.106375,0.274000,19.491000,19.765000,PASS
measure,29,CEEC,2,E,2,344,4,1,427080.890926667,427080.910319750,19.393083,0.146333,0.287000,19.722000,20.009000,PASS
measure,29,CEEC,3,C,2,344,4,1,427080.910867250,427080.926583375,15.716125,0.098375,0.259000,15.997000,16.256000,PASS
measure,30,ECCE,0,E,1,344,4,1,427080.927162542,427080.946557125,19.394583,0.102375,0.282000,19.678000,19.960000,PASS
measure,30,ECCE,1,C,1,344,4,1,427080.947107417,427080.962927292,15.819875,0.101667,0.251000,16.113000,16.364000,PASS
measure,30,ECCE,2,C,2,344,4,1,427080.963515875,427080.979444875,15.929000,0.129500,0.238000,16.239000,16.477000,PASS
measure,30,ECCE,3,E,2,344,4,1,427080.980015917,427080.999237500,19.221583,0.100917,0.281000,19.512000,19.793000,PASS
measure,31,CEEC,0,C,1,344,4,1,427080.999816792,427081.015783500,15.966708,0.105667,0.268000,16.247000,16.515000,PASS
measure,31,CEEC,1,E,1,344,4,1,427081.016371875,427081.035538500,19.166625,0.107375,0.290000,19.459000,19.749000,PASS
measure,31,CEEC,2,E,2,344,4,1,427081.036154875,427081.055558750,19.403875,0.136875,0.280000,19.724000,20.004000,PASS
measure,31,CEEC,3,C,2,344,4,1,427081.056111042,427081.071846125,15.735083,0.102917,0.252000,16.019000,16.271000,PASS
measure,32,ECCE,0,E,1,344,4,1,427081.072413875,427081.091839667,19.425792,0.098500,0.291000,19.697000,19.988000,PASS
measure,32,ECCE,1,C,1,344,4,1,427081.092378375,427081.108103750,15.725375,0.098750,0.253000,16.011000,16.264000,PASS
measure,32,ECCE,2,C,2,344,4,1,427081.108692917,427081.124616625,15.923708,0.137667,0.252000,16.241000,16.493000,PASS
measure,32,ECCE,3,E,2,344,4,1,427081.125189750,427081.144356417,19.166667,0.102417,0.284000,19.428000,19.712000,PASS
measure,33,CEEC,0,C,1,344,4,1,427081.144852625,427081.160799792,15.947167,0.098667,0.218000,16.233000,16.451000,PASS
measure,33,CEEC,1,E,1,344,4,1,427081.161370750,427081.180512042,19.141292,0.102208,0.282000,19.425000,19.707000,PASS
measure,33,CEEC,2,E,2,344,4,1,427081.181165292,427081.200445250,19.279958,0.145125,0.286000,19.636000,19.922000,PASS
measure,33,CEEC,3,C,2,344,4,1,427081.201002292,427081.216989167,15.986875,0.104000,0.252000,16.235000,16.487000,PASS
measure,34,ECCE,0,E,1,344,4,1,427081.217473125,427081.236845167,19.372042,0.076500,0.266000,19.627000,19.893000,PASS
measure,34,ECCE,1,C,1,344,4,1,427081.237413250,427081.253116292,15.703042,0.103875,0.254000,16.009000,16.263000,PASS
measure,34,ECCE,2,C,2,344,4,1,427081.253712750,427081.269646375,15.933625,0.139167,0.257000,16.257000,16.514000,PASS
measure,34,ECCE,3,E,2,344,4,1,427081.270226875,427081.289464542,19.237667,0.101083,0.283000,19.489000,19.772000,PASS
measure,35,CEEC,0,C,1,344,4,1,427081.289953250,427081.305850750,15.897500,0.101958,0.221000,16.168000,16.389000,PASS
measure,35,CEEC,1,E,1,344,4,1,427081.306373292,427081.325489167,19.115875,0.104333,0.244000,19.416000,19.660000,PASS
measure,35,CEEC,2,E,2,344,4,1,427081.326083625,427081.345429375,19.345750,0.139500,0.262000,19.666000,19.928000,PASS
measure,35,CEEC,3,C,2,344,4,1,427081.346011000,427081.361836542,15.825542,0.112583,0.254000,16.126000,16.380000,PASS
measure,36,ECCE,0,E,1,344,4,1,427081.362411875,427081.381558500,19.146625,0.104625,0.285000,19.444000,19.729000,PASS
measure,36,ECCE,1,C,1,344,4,1,427081.382112917,427081.398015250,15.902333,0.100000,0.255000,16.177000,16.432000,PASS
measure,36,ECCE,2,C,2,344,4,1,427081.398612000,427081.414313292,15.701292,0.139917,0.234000,16.118000,16.352000,PASS
measure,36,ECCE,3,E,2,344,4,1,427081.414923667,427081.434292625,19.368958,0.097667,0.264000,19.640000,19.904000,PASS
measure,37,CEEC,0,C,1,344,4,1,427081.434831375,427081.450528625,15.697250,0.099542,0.257000,15.982000,16.239000,PASS
measure,37,CEEC,1,E,1,344,4,1,427081.451112125,427081.470482875,19.370750,0.101167,0.284000,19.653000,19.937000,PASS
measure,37,CEEC,2,E,2,344,4,1,427081.471105250,427081.490379375,19.274125,0.141208,0.284000,19.613000,19.897000,PASS
measure,37,CEEC,3,C,2,344,4,1,427081.490942417,427081.506945625,16.003208,0.096167,0.260000,16.279000,16.539000,PASS
measure,38,ECCE,0,E,1,344,4,1,427081.507509875,427081.526787417,19.277542,0.086000,0.284000,19.558000,19.842000,PASS
measure,38,ECCE,1,C,1,344,4,1,427081.527351167,427081.543287875,15.936708,0.099083,0.253000,16.225000,16.478000,PASS
measure,38,ECCE,2,C,2,344,4,1,427081.543867500,427081.559612792,15.745292,0.134625,0.252000,16.043000,16.295000,PASS
measure,38,ECCE,3,E,2,344,4,1,427081.560117250,427081.579484542,19.367292,0.102042,0.237000,19.621000,19.858000,PASS
measure,39,CEEC,0,C,1,344,4,1,427081.579959750,427081.595671875,15.712125,0.100542,0.211000,15.998000,16.209000,PASS
measure,39,CEEC,1,E,1,344,4,1,427081.596260875,427081.615656417,19.395542,0.103750,0.279000,19.678000,19.957000,PASS
measure,39,CEEC,2,E,2,344,4,1,427081.616265250,427081.635420292,19.155042,0.138000,0.283000,19.455000,19.738000,PASS
measure,39,CEEC,3,C,2,344,4,1,427081.635891625,427081.651826042,15.934417,0.097250,0.211000,16.205000,16.416000,PASS
replay,40,EC,0,E,1,344,4,1,427081.722170750,427081.741607625,19.436875,0.056125,0.249000,19.991000,20.240000,PASS
replay,40,EC,1,C,1,344,4,1,427081.742103500,427081.758103042,15.999542,0.095250,0.208000,16.300000,16.508000,PASS
