layer,site,format,k,n,weight_offset,weight_bytes,e_api,c_api,c_grid_x,c_threads_x,c_threads_y,common_a_offset,common_a_bytes
34,2,q8_0,4096,512,84673316416,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
34,3,q8_0,1024,32768,84751304256,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
34,4,q8_0,8192,4096,84711196224,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,84675544640,35651584
34,5,f16,16384,24,84816612128,786432,matmul_f16,exact_smallm,12,32,8,0,0
34,6,f16,4096,256,84786973248,2097152,matmul_f16,exact_smallm,128,32,8,0,0
35,0,f16,16384,24,84968435872,786432,matmul_f16,exact_smallm,12,32,8,0,0
35,1,q8_0,4096,1024,84899458112,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
35,2,q8_0,4096,512,84825926720,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
35,3,q8_0,1024,32768,84903914560,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
35,4,q8_0,8192,4096,84863806528,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,84828154944,35651584
35,5,f16,16384,24,84969222432,786432,matmul_f16,exact_smallm,12,32,8,0,0
35,6,f16,4096,256,84939583552,2097152,matmul_f16,exact_smallm,128,32,8,0,0
36,0,f16,16384,24,85150810272,786432,matmul_f16,exact_smallm,12,32,8,0,0
36,1,q8_0,4096,1024,85081832512,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
36,2,q8_0,4096,512,85008301120,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
36,3,q8_0,1024,32768,85086288960,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
36,4,q8_0,8192,4096,85046180928,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,85010529344,35651584
36,5,f16,16384,24,85151596832,786432,matmul_f16,exact_smallm,12,32,8,0,0
36,6,f16,4096,256,85121957952,2097152,matmul_f16,exact_smallm,128,32,8,0,0
37,0,f16,16384,24,85303420576,786432,matmul_f16,exact_smallm,12,32,8,0,0
37,1,q8_0,4096,1024,85234442816,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
37,2,q8_0,4096,512,85160911424,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
37,3,q8_0,1024,32768,85238899264,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
