stratum,round,order_position,selector,layers,gpu_ms,kernel_ms,wall_ms
1,19,0,4,43,5.894708,1.176625,13.428
1,19,1,0,43,10.679792,1.206458,19.052
1,19,2,2,43,10.707417,1.266333,18.808
1,19,3,3,43,6.039917,1.158708,13.712
1,20,0,0,43,10.67725,1.267875,18.96
1,20,1,4,43,5.931958,1.207292,13.496
1,20,2,3,43,5.924417,1.094417,13.224
1,20,3,2,43,10.688583,1.171833,18.501
1,21,0,2,43,10.691375,1.230542,19.058
1,21,1,0,43,10.692083,1.24825,19.05
1,21,2,4,43,5.969167,1.1585,13.608
1,21,3,3,43,5.9045,1.150458,13.415
1,22,0,3,43,5.910958,1.163958,13.565
1,22,1,2,43,10.686375,1.1935,18.227
1,22,2,0,43,10.701542,1.264917,19.064
1,22,3,4,43,5.900542,1.104958,13.414
1,23,0,4,43,6.034125,1.199542,13.743
1,23,1,3,43,5.900875,1.146833,13.682
1,23,2,2,43,10.67375,1.224125,18.789
1,23,3,0,43,10.670167,1.26,19.083
1,24,0,0,43,10.681875,1.238875,18.926
1,24,1,2,43,10.688208,1.242208,18.981
1,24,2,3,43,6.093125,1.156667,13.594
1,24,3,4,43,5.946917,1.142083,13.49
1,25,0,2,43,10.694667,1.228833,18.864
1,25,1,3,43,5.9415,1.151167,13.679
1,25,2,4,43,5.942458,1.154375,13.481
1,25,3,0,43,10.708542,1.283625,19.419
1,26,0,3,43,5.949833,1.1685,13.53
1,26,1,4,43,6.085958,1.159583,13.655
1,26,2,0,43,10.685083,1.335583,18.892
1,26,3,2,43,10.679125,1.287292,18.796
1,27,0,4,43,5.957666,1.123917,13.578
1,27,1,0,43,10.68525,1.214583,18.766
1,27,2,2,43,10.68625,1.225833,18.774
1,27,3,3,43,6.076208,1.203167,13.759
1,28,0,0,43,10.687958,1.315792,18.881
1,28,1,4,43,5.946542,1.166625,13.44
1,28,2,3,43,5.955209,1.202375,13.513
1,28,3,2,43,10.709042,1.221542,18.76
1,29,0,2,43,10.690666,1.251625,19.023
1,29,1,0,43,10.698417,1.144667,18.29
1,29,2,4,43,5.97475,1.072,13.254
1,29,3,3,43,5.967458,1.158292,13.46
1,30,0,3,43,5.965375,1.157458,13.479
1,30,1,2,43,10.682792,1.252625,19.017
1,30,2,0,43,10.685458,1.260667,19.054
1,30,3,4,43,6.09625,1.137625,13.786
1,31,0,4,43,5.957333,1.170167,13.534
1,31,1,3,43,5.903333,1.199083,13.584
1,31,2,2,43,10.681542,1.237625,18.88
1,31,3,0,43,10.715042,1.206417,18.787
