stratum,round,selector,layer,gpu_ms
0,5,4,39,0.137833
0,5,4,40,0.138250
0,5,4,41,0.138208
0,5,4,42,0.137167
0,5,3,0,0.137917
0,5,3,1,0.138750
0,5,3,2,0.140167
0,5,3,3,0.140208
0,5,3,4,0.140000
0,5,3,5,0.140083
0,5,3,6,0.140500
0,5,3,7,0.140875
0,5,3,8,0.140875
0,5,3,9,0.140292
0,5,3,10,0.140917
0,5,3,11,0.140458
0,5,3,12,0.141083
0,5,3,13,0.140500
0,5,3,14,0.141000
0,5,3,15,0.140500
0,5,3,16,0.140708
0,5,3,17,0.141750
0,5,3,18,0.140875
0,5,3,19,0.141125
0,5,3,20,0.140875
0,5,3,21,0.141250
0,5,3,22,0.141042
0,5,3,23,0.140625
0,5,3,24,0.140583
0,5,3,25,0.141333
0,5,3,26,0.140625
0,5,3,27,0.141083
0,5,3,28,0.141292
0,5,3,29,0.140833
0,5,3,30,0.141083
0,5,3,31,0.144000
0,5,3,32,0.143375
0,5,3,33,0.141208
0,5,3,34,0.141250
0,5,3,35,0.141208
0,5,3,36,0.139500
0,5,3,37,0.138708
0,5,3,38,0.139292
0,5,3,39,0.139042
0,5,3,40,0.141083
0,5,3,41,0.139125
0,5,3,42,0.137750
0,6,3,0,0.138625
0,6,3,1,0.137583
0,6,3,2,0.137583
0,6,3,3,0.137625
0,6,3,4,0.137583
0,6,3,5,0.138000
0,6,3,6,0.137875
0,6,3,7,0.137583
0,6,3,8,0.138167
0,6,3,9,0.137625
0,6,3,10,0.138042
0,6,3,11,0.137750
0,6,3,12,0.137833
0,6,3,13,0.137750
0,6,3,14,0.138417
0,6,3,15,0.137667
0,6,3,16,0.139125
0,6,3,17,0.138042
0,6,3,18,0.138250
0,6,3,19,0.138042
0,6,3,20,0.138708
0,6,3,21,0.138542
0,6,3,22,0.138875
0,6,3,23,0.138042
0,6,3,24,0.138125
0,6,3,25,0.137750
0,6,3,26,0.137750
0,6,3,27,0.138500
0,6,3,28,0.137958
0,6,3,29,0.137667
0,6,3,30,0.137875
0,6,3,31,0.138042
0,6,3,32,0.138000
0,6,3,33,0.141917
0,6,3,34,0.139792
0,6,3,35,0.139375
0,6,3,36,0.138375
0,6,3,37,0.138625
0,6,3,38,0.139083
